,Episode,Epsilon,Reward,Mean_Reward,Time
143,143.0,0.4883155414435353,-188.9061580819306,-184.87347766544238,253.0
144,144.0,0.4858739637363176,-147.67991285003274,-185.81708383359924,115.0
145,145.0,0.483444593917636,-213.17693839497048,-186.82074678154274,243.0
146,146.0,0.4810273709480478,-221.69925880041157,-186.5800408124629,181.0
147,147.0,0.47862223409330756,-108.89074071897117,-184.970190505947,128.0
148,148.0,0.47622912292284103,-153.99667199643386,-183.90364385223805,186.0
149,149.0,0.4738479773082268,-182.46684501963256,-182.7406152665184,173.0
150,150.0,0.47147873742168567,-151.26713050276283,-183.49882947723242,137.0
151,151.0,0.46912134373457726,-61.7442344068345,-181.55106320631666,212.0
152,152.0,0.46677573701590436,-112.56019159460408,-181.77145010698266,500.0
153,153.0,0.46444185833082485,-117.64186414562164,-181.6026514623722,199.0
154,154.0,0.46211964903917074,-229.30645586608972,-179.47947048142362,262.0
155,155.0,0.4598090507939749,-254.83750194396026,-180.32514867715258,351.0
156,156.0,0.457510005540005,-208.66486567604892,-179.53410734286547,273.0
157,157.0,0.45522245551230495,-51.44604966292759,-179.31801712852072,411.0
158,158.0,0.4529463432347434,-250.32929325491753,-179.1704469763966,440.0
159,159.0,0.4506816115185697,-235.40211711924331,-178.0624262332982,199.0
160,160.0,0.4484282034609769,-200.21127828492394,-177.73001001485355,204.0
161,161.0,0.446186062443672,-161.86004350609784,-177.4676377228655,172.0
162,162.0,0.4439551321314536,-81.35010492068147,-177.0457820454442,95.0
163,163.0,0.4417353564707963,-280.36330561216937,-179.19741243396413,321.0
164,164.0,0.43952667968844233,-129.17932621502507,-178.21126243122907,167.0
165,165.0,0.43732904629000013,-98.38025350430142,-178.43914306407143,144.0
166,166.0,0.4351424010585501,-273.5325779436266,-180.8804232932654,291.0
167,167.0,0.43296668905325736,-86.04927537403967,-181.2493209070148,146.0
168,168.0,0.43080185560799106,-176.2852298288112,-182.45815125709174,215.0
169,169.0,0.4286478463299511,-268.06032602002347,-182.95650576941614,263.0
170,170.0,0.42650460709830135,-325.3866024001875,-185.47606537427797,277.0
171,171.0,0.42437208406280985,-178.46051374114717,-185.8986899830223,149.0
